feature,mean_abs_shap
G3,0.1792222055690675
G2,0.08270370672271789
grade_avg_12,0.060319221193729206
absences,0.05879145997438202
G1,0.03673460362094087
failures,0.029347497374761986
age,0.012519027286747813
grade_delta_12,0.010663505420150645
sex,0.003781988259270774
family_stability_score,0.0033232799036165225
paid,0.0032327620845905786
schoolsup,0.00302693711085324
support_total,0.0029958017920625715
famrel,0.0029889544324921643
Fedu,0.002940225902319309
parent_edu_gap,0.0028963446214031454
higher,0.0023841024056855996
parent_edu_total,0.0021141462812355265
famsup,0.0018517608791049768
Fjob_other,0.0018129676631817066
resource_support_total,0.0017040478410590442
Medu,0.001649485733566693
studytime,0.0016064984340472142
access_risk_score,0.0015762602684362991
Mjob_other,0.0014551963499950461
traveltime,0.001447238916416798
Fjob_services,0.0013179328372526589
address,0.0012542104675315048
famsize,0.001223617788225247
Mjob_services,0.0011374995440681026
Pstatus,0.0011292700245643058
Mjob_teacher,0.0010407487529003087
internet,0.0007908114203313678
Mjob_health,0.000502672092860198
Fjob_teacher,0.0004519205139361215
Fjob_health,0.00036706117002377014
